Quantity,Model No,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price ,Suplier,image,Product clip,Currency
7,646326039,HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,NoOS,,1.86kg,393.90 ,flipcart,https://tinyurl.com/72sczxm5,https://tinyurl.com/4e3ttnsm,Euros
13,514164368,HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,NoOS,,1.86kg,344.99 ,flipcart,https://tinyurl.com/72sczxm5,https://tinyurl.com/4e3ttnsm,Euros
23,313040703,Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,Mac,,1.83kg,2439.97 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
32,180570201,Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,498.90 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
20,909097646,Apple,MacBook 12,Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,Mac,,0.92kg,1262.40 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
10,660010158,Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,Mac,,1.37kg,1518.55 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
5,871446616,Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,745.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
7,294664021,Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,Mac,,1.83kg,2858.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
1,943340457,Lenovo,IdeaPad 320-15IKB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,NoOS,,2.2kg,1507.00 ,Lenovo,https://tinyurl.com/72sczxm5,https://tinyurl.com/2adn2f8e,Euros
23,814834688,Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22kg,979.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
32,693749233,Asus,Vivobook E200HA,Netbook,"11.6""",1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98kg,191.90 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
10,862028787,Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,541.00 ,Lenovo,https://tinyurl.com/s3km5c43,https://tinyurl.com/2adn2f8e,Euros
10,549819792,HP,255 G6,Notebook,"15.6""",1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,NoOS,,1.86kg,258.00 ,flipcart,https://tinyurl.com/72sczxm5,https://tinyurl.com/4e3ttnsm,Euros
5,410674907,Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,819.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
7,201891543,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,659.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,490517617,Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.3kg,418.64 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
23,747020070,Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac,X,1.35kg,1099.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
32,665970008,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,800.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
20,915269756,Dell,Latitude 5590,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1298.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
10,670174389,HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,896.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,129978109,Chuwi,LapBook 15.6,Notebook,"15.6""",Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows,10,1.89kg,244.99 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,543095775,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,"14.0""",1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows,10,1.65kg,199.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,920669336,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,"17.3""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows,10,2.71kg,439.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
23,957966212,Dell,XPS 13,Ultrabook,"13.3""",Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.2kg,1869.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
32,586779140,Apple,MacBook Air,Ultrabook,"13.3""",1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac,X,1.35kg,998.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
9,684588429,Lenovo,IdeaPad 120S-14IAP,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows,10,1.44kg,2862.00 ,Lenovo,https://tinyurl.com/s3km5c43,https://tinyurl.com/2adn2f8e,Euros
10,511050944,Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2.1kg,367.00 ,flipcart,https://tinyurl.com/6t9y8nn3,https://tinyurl.com/4e3ttnsm,Euros
5,774380364,Dell,Inspiron 5770,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows,10,2.8kg,979.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
7,684276464,HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.86kg,488.69 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,241154895,HP,ProBook 450,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows,10,2.1kg,879.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
23,538649335,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,,2kg,389.00 ,flipcart,https://tinyurl.com/6t9y8nn3,https://tinyurl.com/4e3ttnsm,Euros
32,423436136,Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.65kg,1499.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
20,815686604,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,,2.3kg,522.99 ,flipcart,https://tinyurl.com/6t9y8nn3,https://tinyurl.com/4e3ttnsm,Euros
10,780539372,Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows,10,2.2kg,682.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,237452760,Dell,Inspiron 7773,2 in 1 Convertible,"17.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows,10,2.77kg,999.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
7,786148356,Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,Mac,,1.37kg,1419.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
8,588143018,Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,NoOS,,2.2kg,533.00 ,Lenovo,https://tinyurl.com/72sczxm5,https://tinyurl.com/2adn2f8e,Euros
23,913578152,Asus,Rog Strix,Gaming,"17.3""",Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows,10,3.2kg,1299.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
32,894235840,Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.3kg,639.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
20,742087600,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows,10,2.8kg,466.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
0,327437717,Lenovo,Yoga Book,2 in 1 Convertible,"10.1""",IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,,0.69kg,2374.00 ,Lenovo,https://tinyurl.com/4ycfhanz,https://tinyurl.com/2adn2f8e,Euros
5,299958873,Acer,Aspire A515-51G,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows,10,2.2kg,841.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,816839184,HP,255 G6,Notebook,"15.6""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows,10,1.86kg,398.49 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,791652675,HP,ProBook 430,Notebook,"13.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows,10,1.49kg,1103.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
23,853924877,Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,2.4kg,384.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
32,714320663,Dell,Inspiron 3576,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows,10,2.13kg,767.80 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
20,785384948,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows,10,1.91kg,439.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
10,840838839,Asus,VivoBook Max,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows,10,2kg,586.19 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,809105686,MSI,GS73VR 7RG,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows,10,2.43kg,2449.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,596665398,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,,2kg,415.00 ,flipcart,https://tinyurl.com/6t9y8nn3,https://tinyurl.com/4e3ttnsm,Euros
13,371802153,Dell,Inspiron 5770,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows,10,2.8kg,1299.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
23,702604519,Dell,Vostro 5471,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.7kg,879.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
15,606381528,Lenovo,IdeaPad 520S-14IKB,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,NoOS,,1.7kg,2986.00 ,Lenovo,https://tinyurl.com/72sczxm5,https://tinyurl.com/2adn2f8e,Euros
20,954190453,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.4kg,941.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
10,760924650,HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.86kg,690.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,144419444,Asus,ZenBook Pro,Ultrabook,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8kg,1983.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,292475456,HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,Windows,10,1.86kg,438.69 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,378809216,HP,Stream 14-AX040wm,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,Windows,10,1.44kg,229.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
3,239082514,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows,10,1.9kg,2878.00 ,Lenovo,https://tinyurl.com/s3km5c43,https://tinyurl.com/2adn2f8e,Euros
32,267696366,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,,3kg,949.00 ,flipcart,https://tinyurl.com/6t9y8nn3,https://tinyurl.com/4e3ttnsm,Euros
20,546300747,Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows,10 S,1.252kg,1089.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
10,605552916,Dell,Inspiron 5370,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,1.4kg,955.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
5,965935575,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows,10,2.2kg,870.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
7,966721981,MSI,GL72M 7RDX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.7kg,1095.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,337467636,Acer,Aspire E5-475,Notebook,"14.0""",1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows,10,2.1kg,389.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
23,635022963,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.2kg,949.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
6,211269391,Lenovo,IdeaPad 320-15IKBN,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,NoOS,,2.2kg,2071.00 ,Lenovo,https://tinyurl.com/72sczxm5,https://tinyurl.com/2adn2f8e,Euros
20,588928193,Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows,10,2.02kg,855.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
10,519989362,Acer,Aspire A515-51G-32MX,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows,10,2.2kg,530.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
5,292038710,HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows,10,2.5kg,977.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,236759266,Dell,Latitude 5590,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.88kg,1096.16 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
13,314828797,Apple,MacBook 12,Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,Mac,,0.92kg,1510.00 ,flipcart,https://tinyurl.com/zxvcr9ds,https://tinyurl.com/2adn2f8e,Euros
23,406260337,HP,ProBook 440,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.63kg,860.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
4,172251719,Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows,10,2.2kg,1865.00 ,Lenovo,https://tinyurl.com/s3km5c43,https://tinyurl.com/2adn2f8e,Euros
20,153166178,Acer,Aspire 3,Notebook,"15.6""",1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows,10,2.1kg,395.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
10,312607142,Dell,Inspiron 7577,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65kg,1349.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
5,748452679,HP,Pavilion 15-CK000nv,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows,10,1.83kg,699.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
7,428454009,HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows,10,1.96kg,598.99 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
13,654303896,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows,10,2.2kg,1449.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/4e3ttnsm,Euros
23,489169766,Dell,XPS 13,Ultrabook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.21kg,1649.00 ,flipcart,https://tinyurl.com/s3km5c43,https://tinyurl.com/sm3yrf75,Euros
